#GTS-AA	ISO-3166-1-ALPHA3
AB	ALB
AG	ARG
AH	AFG
AI	SH-AC
AJ	AZE
AK	US-AK
AL	DZA
AN	AGO
AT	ATG
AU	AUS
AY	ARM
AZ	PT-30
BA	BNS
BC	BWA
BD	BRN
BE	BMU
BH	BLZ
BI	BDI
BJ	BEN
BK	VU-TOB
BM	MMR
BN	BHR
BO	BOL
BR	BRB
BT	BTN
BU	BGR
BV	BVT
BW	BGD
BX	BEL
BX	LUX
BY	BLR
BZ	BRA
CD	TCD
CE	CAF
CG	COG
CH	CHL
CI	CHN
CM	CMR
CN	CAN
CO	COL
CR	ES-CN
CS	CRI
CT	KI-P
CU	CUB
CV	CPV
CY	CYP
CZ	CZE
DC	BES
DJ	DJI
DL	DEU
DN	DNK
DO	DMA
DR	DOM
EG	EGY
EI	ERI
EO	EST
EQ	ECU
ER	ARE
ES	SLV
ET	ETH
FA	FRO
FG	GUF
FI	FIN
FJ	FJI
FK	FLK
FM	FSM
FP	SPM
FR	FRA
FW	WLF
GB	GMB
GC	CYM
GD	GRD
#GE	SH-TA	GOUGH ISLAND
GH	GHA
GG	GEO
GH	GHA
GI	GIB
GL	GRL
GM	GUM
GN	GIN
GO	GAB
GQ	GNQ
GR	GRC
GU	GTM
GW	GNB
GY	GUY
HA	HTI
HE	SH-HL
HK	HKG
HO	HND
HU	HUN
HV	BFA
HW	US-HI
IC	COM
ID	IDN
IE	IRL
IL	ISL
IN	IND
IQ	IRQ
IR	IRN
IS	ISR
IV	CIV
IY	ITA
JD	JOR
JM	JAM
JP	JPN
#KA	FSM	CAROLINE ISLANDS - NOW FSM AND PALAU
KB	KIR
KI	CXR
KK	CCK
KN	KEN
KO	KOR
KP	KHM
KR	PRK
KU	COK
KW	KWT
KY	KGZ
KZ	KAZ
LA	LAO
LB	LBN
LC	LCA
LI	LBR
LJ	SVN
LN	KI-L
LS	LSO
LT	LTU
LV	LVA
LY	LBY
MA	MUS
